sentiment,message,tweetid
2,"RT @PacificStand: Life, liberty, and the pursuit of climate change https://t.co/SS65X24oAd https://t.co/i6kR81RmrI",793484681228480512
2,RT @TimesNow: India emerging as front-runner in fight against climate change: World Bank. (PTI),883559089921568768
1,In the news: Now that we are leaving the Paris Agreement what can Mainers do to help combat climate change https://t.co/C7cSlVsLa0,870721302079909888
1,RT @ClimateDesk: Harvey and Irma aren't natural disasters. They're climate change disasters. https://t.co/O0iljx0zhZ via @grist,907630771715936256
1,RT @savethearctic: Joanna Sustento witnessed the effects of climate change first-hand. Now she’s in the Arctic to confront those respo…,889897693031616512
-1,RT @SteveSGoddard: Arctic sea ice extent is at a four year high. It is time for Republicans to stop supporting the global warming scam…,858329652246364160
0,What climate change? (another hot topic of 2017) https://t.co/nvyMmHkBYs,947243904130154496
1,RT @hankgreen: .@JackHarries and @FinnHarries team up with the @WWF for a freaking fantastic short film on climate change: https://t.co/oT2…,678946462609375232
1,if you're worried about climate change research being censored (and you should be!) why not mention the EPA media blackout &amp; grant freeze?,824053085534228480
2,"RT @FoxNews: Oregon, Washington want to hike taxes to combat global warming https://t.co/PDassGRhNh",958321028559785986
-1,RT @imcrews: Wow... just heard Obama tell a woman that climate change is more important than her cancer. What a NUTJOB! #WakeUpAmerica🇺🇸,691032508050325505
1,RT @ForeignAffairs: Michael Bloomberg on how cities—not nations—will be the key to fighting climate change: http://t.co/XTTvrV1Qld http://t…,639554962863824896
2,GE CEO Jeff Immelt seeks to fill void left by #Trump in #climate change efforts: Biz Journals https://t.co/xsmuz923u4 #environment,847555858905022465
1,RT @ClimateDesk: There's one last thing Obama can do to fight global warming...and Trump wouldn't be able to stop it https://t.co/Smeql79AR7,814233084543565824
1,"RT @cbryanjones: The list of countries who have turned their back on addressing climate change is short: Syria, Nicaragua, and … the United…",870231690538627072
0,We were talking about global warming then last vegas then smoking then pot then to birds dying bc of windmills and solar panels,880818723191259136
0,"The pope$q$s climate change encyclical – first the leak, now the movie trailer - http://t.co/DBHYSeTvAS",610768464995725312
1,"@JacksonBTT Wind energy is further ruining the environment, health &amp; is the cause of further climate change becauseâ€¦ https://t.co/8uv7tOzXUA",954125918519382016
1,"RT @TheEconomist: The effects of global warming had been thought to help reindeer, but more rain, and therefore ice, threatens them https:/â€¦",944394074337042432
-1,"RT @SkepticJohn: If man-made global warming is fact, why do you have to fake data to support it? https://t.co/GKLGn9wKyf",806063164156579840
1,Why the hell is Andrew Neil retweeting climate change deniers Global Warming Policy Forum? I've long suspected he lâ€¦ https://t.co/1QgKOw3yer,953258307694878720
2,"RT @CNN: Julia Louis-Dreyfus, who plays a president on 'Veep,' cut a video backing Clinton over her climate change positionÃ¢â‚¬Â¦",794088608399405056
1,RT @GuardianAus: Climate change: eight big myths that need to be exploded  http://t.co/PVhKKfDQMI #climate #climatechange #environment http…,595000461154877440
2,"RT @MotherJones: In 1991, Shell produced this alarming video warning about climate change dangers https://t.co/UYFXjuQqJV",837066035467542530
1,RT @BlueRainfyre: Yet we're supposed to believe .@realDonaldTrump's lies that global warming is a hoax? Real science proves him wrong againâ€¦,949457910001733632
2,RT @TrumpIsCrooked: Scott Pruitt’s office deluged with angry callers after he questions the science of global warming…,840857786841890816
2,Why invasive plants love climate change @MNN https://t.co/d39p3NnlfV,860255174291599360
1,"RT @jackcushmanjr: As @gettleman notes, those hit hardest by climate change bear least blame -- Not Just 1 Famine, but 4 https://t.co/EOCP…",846447772119289856
2,RT @Reuters_Davos: Trudeau to DiCaprio: Shush on climate change! https://t.co/rA6AXLXF8u #Davos #WEF16 https://t.co/iJt0MTfQfG,809783053287587841
2,"Obama Visits Arctic Community, Highlights Climate Change: U.S. President Barack Obama becomes the first sittin... http://t.co/2nSW4KgwTE",639126817274753024
2,Chinese President Xi Jinping's climate change remarks sure seem to be aimed at Trump https://t.co/Br5sxpsp4p via @HuffPost,921000752847261697
1,"RT @LeymahRGbowee: Prayers up for Sierra Leone. May God heal this grieving nation.
Environmental degradation is dangerous, climate change i…",897742992286633989
2,"RT @AP: Team of arborists cloning some of world$q$s tallest and oldest trees to combat climate change, @ScottSmithAP reports. https://t.co/SC…",755696831523196929
1,"climate change... what climate change. smh Colombia: 193 dead after rivers overflow, toppling homes - ABC News https://t.co/XLcnZsqnbp",848369304059789312
1,"RT @AIESEC: It doesnâ€™t matter whether you believe in climate change or not, but ignoring these alarming facts that are deteriorating our plâ€¦",955353864588464128
2,RT @thenation: Naomi Klein: Climate Change Will Destroy These Countries https://t.co/ATJNdDKIU0,675719395096662016
1,RT @jsmith_nihilist: #tytlive Texas wouldn't know climate change if it slapped them in the face with 20ft of water,957942557761331200
2,RT @EnvDefenseFund: Global momentum on climate change: China plans to ban sales of fossil fuel cars entirely. https://t.co/8Gs5ZKaLAT,910262816699011079
-1,@SenSanders Idiots out there buying into this global warming BS. It's nothing more than a scam to gain complete domâ€¦ https://t.co/6Es1zRFhaw,955457434411298816
2,"RT @TalkingHeadsAfr: Why the research into climate change in Africa is biased, and why it matters https://t.co/J6aAJEvBOV",842035269410922496
0,"@FilmFan_001 It certainly is climate change, but I suspect a lot more people are peeing in the ocean also.",906872804397797376
1,RT @thelittleidiot: this is AMAZING: Explosive intervention by Pope Francis set to transform climate change debate http://t.co/rzqSMvuj8O #…,609829025465397249
2,"On climate change, Scott Pruitt causes an uproar — and contradicts the EPA’s own website USELESS ! https://t.co/bxFup0qkqf",840342591472324608
2,RT @kileykroh: Miami's Republican mayor to the Trump administration: 'This is the time to talk about climate change' https://t.co/usQbCoIYOm,906610474917253120
2,RT @nytimes: Trump’s team asked the Department of Energy for names of all employees who have attended climate change conferences https://t.…,807611438407815168
1,This rose has been flowering all winter. An effect of global warming do you think? The blooms don't last long thougâ€¦ https://t.co/Zv004gsono,958224184341155840
1,RT @bruceanderson: Conservative minded voters (not to be confused w more rabid partisan types) know that ignoring climate change is pilingâ€¦,960824253040902145
2,EPA chief: Carbon dioxide not 'primary contributor' to climate change - https://t.co/AgQTTzmosW,839951783405346816
1,"#ClimateChange #CC As climate change worsens wildfires, smokejumpers fight blazes from the s... https://t.co/Jasgbin75s #UniteBlue #Tcot",753375043111964672
1,RT @Raveenthiran80: Climate change is now a reality. Nobody escapes from reality &amp; scientists agree global climate changes have been causedâ€¦,953578570315714561
2,#CLIMATE #p2 RT  Do mild days fuel climate change scepticism? https://t.co/rxRJo8lWK9 #tcot #2A https://t.co/i12sd3BMPN,833794406675161088
2,RT @newscientist: Trump could land fatal blow to the fight against climate change https://t.co/aMn3aIP1KE https://t.co/dy5rMCLPhR,796329454482161665
1,@FoxNews @RAMRANTS Six weeks of vicious global warming locked down consumer spending!,955360892627181568
2,RT @guardianeco: Markets are already pricing in climate change. Business can't afford to wait to act | Sam Mostyn https://t.co/K77c0eDWmo,794425223172870144
0,RT @JackBinstead: If global warming doesn't exist then why is club penguin shutting down?,829849878830399489
1,"RT @JeffersonObama: Reject science, climate change, technology, trade, culture, human rights, women's rights...embrace Rural Nihilism =WINÃ¢â‚¬Â¦",798028820192391168
1,Good thing DTrump is clear that global warming is a myth... https://t.co/It6TZuaskX,798738308952113152
1,RT @ClimateCentral: Snow cover in North America is on the decline in part due to climate change https://t.co/sY2sDGjPQs https://t.co/pNnGYu…,832462203957579776
-1,RT @Hotpage_News: MORONIC JILL STEIN SAYS Istanbul attack NOT Islam's fault...BUT everything to do with climate change  https://t.co/rS7zzj…,815752631469699073
1,"RT @RTPIScotland: Herald View: We must protect our heritage from climate change
https://t.co/q5G4e8xN48",954279799064850437
2,Arctic Refuge Hit With Double-Whammy: Climate Change and Oil Development via @EcoWatch https://t.co/HlPwggLKaf,768019393305600000
1,Does @JoshFrydenberg agree global warming is accelerating? Will he put climate target in NEM objectives so energy delivered consistently?,830878381512101888
1,"RT @JamilSmith: Trump doesn't govern like a true climate change denier. In a way, his approach is crueler. Here, I wrote about why.…",848274443537350656
-1,"RT @SteveSGoddard: If government funded global cooling research instead of global warming research, @NASA graphs would show cooling -â€¦",941996928824430592
-1,This is attributing to 'climate change'.  Government allow then charge you to cost toward CC. Is that the biggest f… https://t.co/0DJ8utGR1K,833481625014898689
1,The EU wants to fight climate change â€“ so why is it spending billions on a gas pipeline? https://t.co/5XNTPGXawn,961514544723046401
2,RT @thehill: #BREAKING: Trump to withdraw nomination of climate change skeptic to lead environmental council: report https://t.co/xYIuUnhGZâ€¦,959018448545288195
0,"Heaven knows people fuss too much about Trump, Aleppo, climate change, yada, so @alanalevinson &amp; @birdyword really help restore focus. 42/42",808951755732086784
0,RT @ccdeditor: VANISHED GLOBAL WARMING may NOT RETURN – UK Met Office http://t.co/t9A9TN0uoX via @ccdeditor,643920953672527872
1,"RT @cafedotcom: Ah, that old classic: “It’s cold outside so global warming isn’t real.” https://t.co/yK0qXtHc7a",804535828533932033
1,"RT @aurabogado: THIS: thawing, thinning, melting landscapes (caused by warmer weather from climate change) means killer infections. https:/…",758821270104346624
2,Why Hurricanes Harvey and Irma won't lead to action on climate change - The Conversation US https://t.co/CrhoUIPTVx,909634691816411136
2,RT @Adel__Almalki: #news by #almalki: Trump to roll back use of climate change in policy reviews: source https://t.co/6BivHeybgp,841958750974050307
1,"RT @EricHolthaus: There was just 4hrs and 20min of coverage on climate change in 2017 -- in total -- on the four major TV networks.

That iâ€¦",962637749768609793
1,"RT @RedTRaccoon: #UselessScienceExperiments

Using snow to prove climate change isn't happening. 

Support the #climatemarch activi…",858635514148257792
1,"RT @GlavenEel: Abstraction, poor water management and climate change all to blame. Bad news for aquatic life,including endangered…",899605706080497667
1,RT @campaignsarah: 'Last year's Paris Agreement showed the world was united in its concern about climate change...' https://t.co/r28msde9LO,797033212245671936
-1,Chelsea Clinton blames climate change for causing diabetes https://t.co/3x8sy1MZ6F,845303960818868226
0,"As i write this tweet, it is -67 degrees in Oymyakon, Russia. I can see why Putin is not concerned about global warming.",953305599013457921
1,"RT @fibrohippiechic: So Iâ€™ve seen flooding, snow and now ice. Sure.. global warming is not real at all. I mean this is perfectly normal forâ€¦",955519772879237120
0,#CWParis https://t.co/a0F9709CTr Take a look at what else the climate change protesters in Copenhagen are promoting.,794179856401571840
2,"EcoNews: World Bank: Global warming will drive 100 million people into poverty
 https://t.co/gajbqNvgzA",664838971806097408
2,"Ecumenical Patriarch blasts Ã¢â‚¬ËœdisgracefulÃ¢â‚¬â„¢ inaction on climate change, says Ã¢â‚¬Ëœsurvival of GodÃ¢â‚¬â„¢s creationÃ¢â‚¬â„¢ is at stake https://t.co/uWT8BhHUk1",794484112497123328
2,RT @wef: .@BarackObama says tackling climate change means changing our eating habits https://t.co/vqfGI8FC2G https://t.co/YmbiqiAbeJ,868915326871887872
2,"RT @nytimes: In a new ad for The New York Times, Josh Haner reflects on the effects of climate change on polar bears. https://t.co/IVkEAwo1…",870803273254653954
0,You will know them by their (cough cough) *fruits https://t.co/wl1lHD40TL,718456669475364864
0,RT @quenblackwell: I just explained climate change to stitch https://t.co/1I0rwWRr7N,939742179307683840
-1,"@FoxNews these are climate change Thugs, not protesters! Big difference",841434454031765504
1,He makes no sense.  A climate change denier for EPA? Not to mention everyone else is a bigot and incompetent! https://t.co/1GeCIETjj2,807379971199078405
0,"RT @MurphyVincent: Listen back to my interview with @SebGorka - we discuss US-EU relations, climate change, Brexit and Donald Jr/Russia htt…",886797720756813829
0,@brexoadams @AshleySinclair0 Or she posted a picture of her truck in a discussion about climate change and asked hoâ€¦ https://t.co/qx5X8rhIu4,959665172884291584
-1,RT @theREALdondeg: @lawiegers Saw u dislike climate change hysteria 2. U know about chaos theory? Says we can$q$t predict things like climate…,694892479091499009
1,"@realDonaldTrump I will never support you because you don't care about climate change, green energy, fossil fuel pollution. U will ruin us",797165777656877058
1,"There's a fine line between not knowing global warming exsists, and just being an idiot. What trump is doing now is disgusting.",847696542127472640
1,I just joined @NatGeoChannel @21CF in combating climate change. Take action #BeforeTheFlood https://t.co/VFXDTRZOdU,794999243882668032
2,Republican green groups seek to temper Trump on climate change https://t.co/5WUHoQfgiC https://t.co/RnsDLTdAKF,843786830801641472
0,"RT @goldengateblond: HILLARY: $q$Donald thinks that climate change is a hoax perpetrated by the Chinese.$q$
TRUMP: $q$I do not!$q$
 #debatenight ht…",780782839314788352
0,RT @BenParfittCCPA: Why do NDP keep channeling the Libs? Surest way to frack up climate change goals? Build LNG plants. Drill and frack forâ€¦,953587808085708801
1,"Things that will always suck: the Colorado #Rockies, The Green Party, cats, Christmas music,Apple,climate change deniers. #ThursdayThoughts",806894355281801216
1,"RT @PaulEDawson: â€œAs the evidence becomes ever more compelling that climate change is real and human-caused, the forces of denial turn to oâ€¦",960543458313125888
1,"RT @ClimateChangRR: Schwarzenegger and Macron team up to fight climate change, troll Trump in video https://t.co/mKwQXIHFwS",879170699902038016
0,"EVs, climate change and oil exports in the mix. https://t.co/7kwO7gcpHj",954324733411041280
0,RT @movienonsense: After Global Warming http://t.co/jGuc2es7tV,636284707232047104
1,RT @cardiffmet: Want to improve people's health; tackle the effects of climate change or help people stop smoking? Come &amp; study…,806230726379274244
-1,RT @charliekirk11: Will it now be the policy of Disney to never fly on private jets since you are so scared of climate change? https://t.co…,870654873347522561
1,"RT @LeeCamp: 44% of bee colonies died last year due to pesticides &amp; climate change. When the bees die, we die. ...But if we die first, the…",842474833883676672
2,"RT @sciam: For the third year in a row, the carbon dioxide emissions that drive climate change worldwide have been level. https://t.co/FVix…",844376554176172032
-1,"RT @DineshDSouza: .@FoxNews Once again, the bad guys are caught red handed cooking the data on climate change https://t.co/VsxDNNV01N",829134444405616641
1,RT @MariannaWrites: Had a hard time getting out of bed this morning bc I kept remembering our next president thinks climate change is a hoa…,806665700332961792
0,@RealBobMortimer I blame global warming :s,793917863002271745
1,@EPAScottPruitt @NatGeo @garyknell How do you promote environmentalism but not believe in or focus on climate change?,908105348602585089
1,"RT @leahmcelrath: For the EPA (Environmental Protection Agency), Trump named climate change denier Martin Ebell 

https://t.co/O7C48YSNLk",797488642944069632
2,RT @businessinsider: 100-year-old frost maps show how climate change has shifted the growing season — via @Slate https://t.co/kUPADMnYjW ht…,846124307961057281
1,RT @TheDailyEdge: Elderly Americans burned alive in wildfires exacerbated by climate change. Mike Pence sends his prayers. https://t.co/pS7…,918884827654492162
1,"سچی مچی #KPRisesWithKhan
Billion tree tsunami project, an excellent project by KP government which can reduce pollution &amp; global warming",815205752671440896
1,"RT @ret_ward: Apparently, being a climate-change-denying blog commenter makes you an expert on climate change https://t.co/oWUoGgiHDI",811088215226466304
1,This sunset is the earth saying 'vote for someone that thinks climate change is real or y'all won't be getting any more of these',796116094842966016
1,"RT @Pappiness: The difference between climate change and Trump's claim he's done more in 100 days than any @POTUS?

Climate change is real.…",858344605053595648
1,There's an ocean of Methane under the Arctic that all this climate change is slowly releasing. Look it up https://t.co/lPBx7wVvAz,805238562295783424
1,RT @SeanMcElwee: More well paying jobs while saving humanity from catastrophic climate change. Sounds awful. https://t.co/DOqydrrFIj,860912761441841152
1,RT @LOLGOP: Let's relax about climate change. The real danger to human existence is college kids at elite schools having opinio…,858048373261258752
0,RT @apmnicimod: Implications of Climate Change for Water Resources and Policies in the Indus Basin - #HIMALDOC https://t.co/ReQirXzf4M,768746247855435776
1,when ur enjoying the nice weather but at the same time u know it's just bc of global warming https://t.co/ricLIB1Xkh,836769064261464064
